Borough;Tax_payers;Workplace
Barking and Dagenham;23900;28553
Barnet;28700;32143
Bexley;26900;30733
Brent;24700;30134
Bromley;32000;29819
Camden;37300;38147
Croydon;27500;32109
Ealing;26700;30259
Enfield;26300;29134
Greenwich;27600;32635
Hackney;29400;33618
Hammersmith and Fulham;33200;36972
Haringey;27100;31442
Harrow;27600;31255
Havering;27900;29134
Hillingdon;27100;33596
Hounslow;26400;34119
Islington;33400;39348
Kensington and Chelsea;40400;31678
Kingston upon Thames;32400;31308
Lambeth;29900;35036
Lewisham;27300;33294
Merton;30200;29627
Newham;24100;30770
Redbridge;28000;29189
Richmond upon Thames;36100;32141
Southwark;29400;37601
Sutton;28200;27945
Tower Hamlets;30200;49369
Waltham Forest;25500;28284
Wandsworth;34500;33137
Westminster;39700;42152
